channel_name,date,cost,ihc,ihc_revenue,CPO,ROAS
Affiliate & Partnerships,2023-09-01,413.2050000000006,1.0,20.17,413.2050000000006,0.04881354291453388
Affiliate & Partnerships,2023-09-03,430.7160000000017,0.9999999999999998,41.34,430.7160000000018,0.09597971749366134
Affiliate & Partnerships,2023-09-04,602.5120000000005,0.8281,32.301782,727.5836251660434,0.053611848394720725
Affiliate & Partnerships,2023-09-06,190.40900000000002,0.3182,14.089896,598.3940917661848,0.07399805681454132
Affiliate & Partnerships,2023-09-07,209.49000000000152,0.1072,7.300319999999999,1954.197761194044,0.03484805957324907
Direct Traffic,2023-08-30,6.840999999999999,0.3756,28.01868,18.213525026624065,4.0956994591434
Direct Traffic,2023-09-07,2.562,0.8245,40.747929,3.1073377804730136,15.904734192037472
FB & IG Ads,2023-08-31,10311.620999999981,0.535,9.3625,19274.057943925196,0.0009079561787618084
FB & IG Ads,2023-09-03,11424.587999999963,0.2583,2.3479469999999996,44229.918699186856,0.0002055169954487643
FB & IG Ads,2023-09-05,8227.969000000006,1.0,110.92000000000002,8227.969000000006,0.013480848068338606
Microsoft Ads,2023-09-02,116.50600000000003,0.535,63.3012,217.76822429906545,0.5433299572554202
Microsoft Ads,2023-09-04,176.46299999999974,0.4021,32.441428,438.85351902511746,0.1838426639012147
Organic Traffic,2023-08-30,0.073,0.5193,64.201059,0.1405738494126709,879.4665616438357
Organic Traffic,2023-08-31,0.0,0.0575,1.98605,0.0,0.0
Organic Traffic,2023-09-04,7.209999999999999,0.8325,58.05109600000001,8.660660660660659,8.051469625520113
Paid Search Brand,2023-08-29,2112.7459999999487,0.5593,9.987749,3777.482567494991,0.004727378018938502
Paid Search Brand,2023-08-31,1804.3639999999825,0.5851,17.431998,3083.855751153619,0.00966102072530829
Paid Search Non Brand,2023-09-01,1678.4750000000045,0.2688,32.167296,6244.326636904779,0.019164596434263194
Paid Search Non Brand,2023-09-04,2126.6490000000176,0.345,10.42245,6164.200000000052,0.004900879270627129
Performance Max,2023-08-29,11782.176000000329,0.9223,56.310314000000005,12774.776103220567,0.004779279650889482
Performance Max,2023-08-30,12769.342000000057,0.417,14.403179999999999,30621.923261391024,0.0011279500541218127
Referral,2023-09-01,0.0,0.2235,168.64416,0.0,0.0
Referral,2023-09-02,0.0,0.1795,7.440275000000001,0.0,0.0
Referral,2023-09-03,0.0,0.5685,29.655065999999998,0.0,0.0
Referral,2023-09-05,0.0,0.2199,14.253917999999999,0.0,0.0
Referral,2023-09-06,0.0,0.723,26.292059000000002,0.0,0.0
Social Organic,2023-09-03,378.31000000000006,1.0,39.88,378.31000000000006,0.10541619306917606
Untracked Conversions,2023-09-02,0.0,1.0,58.0,0.0,0.0
Affiliate & Partnerships,2023-08-29,525.3599999999971,0.4606,36.36851500000001,1140.5992184107622,0.06922589272118207
Affiliate & Partnerships,2023-08-30,574.644,0.3929,40.78302,1462.5706286586917,0.07097093156806648
Affiliate & Partnerships,2023-08-31,572.7689999999993,0.15560000000000002,7.284029,3681.0347043701754,0.012717219332750216
FB & IG Ads,2023-08-30,10348.764999999983,0.3451,26.910898000000003,29987.728194726114,0.0026003970522086497
Microsoft Ads,2023-08-31,194.87000000000015,0.3808,8.636544,511.7384453781516,0.044319515574485525
Microsoft Ads,2023-09-03,142.84500000000008,1.0,118.33,142.84500000000008,0.828380412335048
Microsoft Ads,2023-09-06,174.95299999999995,0.528,68.3232,331.3503787878787,0.3905231690796958
Paid Search Non Brand,2023-08-29,2069.8440000000023,0.8981,32.004346,2304.6921278254117,0.0154622019823716
Paid Search Non Brand,2023-08-30,1967.2809999999874,0.1523,3.9658919999999998,12917.143795141086,0.002015925533769718
Paid Search Non Brand,2023-08-31,2069.081999999986,0.6982,18.150137,2963.4517330277654,0.008772072348993479
Paid Search Non Brand,2023-09-06,1682.7830000000067,0.5141,37.390901,3273.260066135006,0.022219680731264728
Paid Search Non Brand,2023-09-07,1523.433000000001,1.0,93.18,1523.433000000001,0.061164488362796365
Referral,2023-08-29,0.0,0.2338,6.240122,0.0,0.0
Social Organic,2023-08-29,114.46,0.3481,9.861673,328.8135593220339,0.08615824742268041
Social Organic,2023-09-01,293.52,0.7463,10.537756,393.3002813881817,0.0359013218860725
TikTok Ads,2023-09-02,1104.6160000000016,1.0,18.33,1104.6160000000016,0.016594001897491953
Untracked Conversions,2023-08-29,0.0,0.5363,51.195198,0.0,0.0
